reference,n,top_pred,top_frac,agree_frac,mean_conf
Acinar,6,Other,0.5,0.0,0.7911
B,1445,B,1.0,1.0,0.9997
CAF,46,Other,0.8478,0.0,0.6591
CD4T,3639,Other,0.9981,0.0,0.9994
CD8T,5683,Other,0.9996,0.0,0.9968
Ductal,228,Other,0.9693,0.0,0.9224
Endocrine,1,Other,1.0,0.0,1.0
Endothelial,164,Other,1.0,0.0,0.9902
Myeloid,445,Myeloid,0.964,0.964,0.9184
NK,3166,Other,1.0,0.0,0.9506
Plasma,16,Plasma,0.9375,0.9375,0.9476
Platelet,68,Other,0.5441,0.4559,0.9551
Schwann,7,Other,1.0,0.0,0.9996
Stellate,76,Other,0.9211,0.0,0.7423
