all_celltype,celltypist_coarse,n_cells
Acinar,CD8T,6
CD4T,CD8T,1214
B,Ductal,3
Platelet,CD8T,32
CD4T,Plasma,7
Myeloid,NK,2
Endocrine,NK,1
Stellate,CAF,72
Platelet,Platelet,36
Endothelial,NK,4
NK,CD8T,329
CD8T,CD8T,4961
Ductal,NK,6
Myeloid,CD8T,1
Endothelial,Endothelial,159
Myeloid,B,1
CD4T,Myeloid,1
Ductal,Ductal,222
CD4T,CD4T,2377
CAF,CAF,46
CD8T,Plasma,40
B,CD8T,4
Plasma,B,15
B,Plasma,2
Schwann,CAF,7
Endothelial,CD8T,1
CD8T,CAF,1
CD8T,Myeloid,5
Myeloid,Myeloid,441
CD8T,CD4T,426
NK,CD4T,4
Stellate,NK,4
Plasma,Plasma,1
CD4T,NK,40
B,CAF,1
NK,NK,2832
CD8T,NK,250
B,B,1435
NK,B,1
