,cell_type,n_cells,proportion,mean_confidence,median_confidence,min_confidence,max_confidence
2,Tem/Temra cytotoxic T cells,582,0.291,0.9402338036663374,0.997832755535091,0.06256631247654838,0.9999997330551726
1,CD16+ NK cells,315,0.1575,0.9568122193967075,0.9998061310063944,0.07013937720452865,0.9999999995107602
0,Tem/Trm cytotoxic T cells,303,0.1515,0.8749689848151251,0.9938548011563674,0.0014984960381613029,0.9999997359483452
3,Tcm/Naive helper T cells,165,0.0825,0.8399755711212283,0.9696249309356946,0.016171687953858954,0.9999897971233725
8,Naive B cells,107,0.0535,0.9719144634485505,0.9999802098945649,0.05188305995311314,0.9999999996173494
4,Tem/Effector helper T cells,103,0.0515,0.7155370535746589,0.8105558950190674,0.0028101058501020714,0.9997698972850247
6,Regulatory T cells,63,0.0315,0.7599221892553861,0.950341657608162,0.01819668509984325,0.9999999999993427
15,Memory B cells,56,0.028,0.9421530063475253,0.9992036601720958,0.07093213489947756,0.999999918499429
5,MAIT cells,38,0.019,0.9091686936041272,0.9983538315540105,0.18627523449847533,0.9999999754358365
23,Epithelial cells,35,0.0175,0.9332737728227901,0.9999999914352852,0.01782808771396299,0.9999999999999998
13,Tcm/Naive cytotoxic T cells,31,0.0155,0.7994599647651622,0.9720454710136174,0.02930140158749161,0.9999990778122041
18,Type 1 helper T cells,27,0.0135,0.6567497467502484,0.7367092684334365,0.013782796405572367,0.9941893511275404
26,Trm cytotoxic T cells,19,0.0095,0.6314422512990479,0.7886635845032202,0.04929079026995659,0.973654267005449
27,Mast cells,16,0.008,0.8951691062818992,0.9999989442835582,0.011337044130197765,0.9999999997758939
25,Fibroblasts,16,0.008,0.8181889626098806,0.9999998203347022,0.00693715933528877,1.0
28,Endothelial cells,15,0.0075,0.97837705593281,1.0,0.6756691959346224,1.0
12,Classical monocytes,13,0.0065,0.6836072104882588,0.9973912918554714,0.015053248117591175,0.9999998806341812
9,Age-associated B cells,11,0.0055,0.8229586489146187,0.9961900572262483,0.12261878795921814,0.9999999754807182
30,Macrophages,10,0.005,0.6898545575336336,0.7579926053608881,0.06948328765533537,0.9963426643623288
21,CD16- NK cells,9,0.0045,0.7675726914157722,0.9547368341524237,0.07201510259913149,0.9999893569466791
33,Alveolar macrophages,7,0.0035,0.5288429351395807,0.7918027897467393,0.0014099112321065926,0.9687937077190923
17,DC2,7,0.0035,0.9698614324805976,0.9995634034651334,0.7999477118292558,0.9999931683116409
7,Follicular helper T cells,6,0.003,0.309923276312066,0.12621350536237153,0.05604256613972841,0.9721467251540342
14,CRTAM+ gamma-delta T cells,6,0.003,0.6387786446389756,0.7464031443990213,0.14475622426380763,0.9999697043316036
10,Non-classical monocytes,5,0.0025,0.9999177473817635,0.9999728565285931,0.9996673099878749,0.9999991805092928
16,Megakaryocytes/platelets,5,0.0025,0.8889069501959905,0.9995760026532172,0.4465534472857566,0.999997518972191
19,NK cells,4,0.002,0.2479266523964836,0.24605554551977463,0.03929900858491366,0.46029650996147153
22,ILC3,3,0.0015,0.9974097715110757,0.9999902576948105,0.9922466564737268,0.9999924003646898
24,Type 17 helper T cells,3,0.0015,0.9252145779122114,0.9864226404489294,0.7904882043139172,0.9987328889737878
31,Intestinal macrophages,3,0.0015,0.5193987503741071,0.3429890603636158,0.21574894968479819,0.9994582410739072
20,Mono-mac,2,0.001,0.5557954999305151,0.5557954999305151,0.2201199970833709,0.8914710027776594
40,Plasmablasts,2,0.001,0.9677222678633538,0.9677222678633538,0.9499936859766748,0.9854508497500328
32,Intermediate macrophages,2,0.001,0.3905242128816655,0.3905242128816655,0.3651015495859375,0.4159468761773935
35,DC,2,0.001,0.39232981733819955,0.39232981733819955,0.14167264033796592,0.6429869943384332
34,Erythrophagocytic macrophages,2,0.001,0.7597086677398797,0.7597086677398797,0.650851557525854,0.8685657779539054
36,Double-negative thymocytes,2,0.001,0.9295946180942549,0.9295946180942549,0.8735081121434467,0.9856811240450631
11,Plasma cells,1,0.0005,0.8676769917125909,0.8676769917125909,0.8676769917125909,0.8676769917125909
29,CD8a/a,1,0.0005,0.04254992732701197,0.04254992732701197,0.04254992732701197,0.04254992732701197
37,ILC,1,0.0005,0.010728487179106832,0.010728487179106832,0.010728487179106832,0.010728487179106832
38,gamma-delta T cells,1,0.0005,0.9374968711252792,0.9374968711252792,0.9374968711252792,0.9374968711252792
39,DC precursor,1,0.0005,0.1970107973035326,0.1970107973035326,0.1970107973035326,0.1970107973035326
